complaint_id,text,category,timestamp
NET-00020,Tower in Vanderbijlpark seems broken. No coverage for 11 days straight. My account number is ACC-51725.,network,2024-02-16 09:11
FRD-00021,Someone opened an account in my name using my ID ****7836.,fraud,2024-08-26 09:22
BIL-00022,My prepaid balance of R2554 was deducted without any usage.,billing,2024-11-14 12:53
BIL-00023,I was promised a discount of R3188 but my bill still shows full price. My account number is ACC-70819.,billing,2024-12-25 16:14
BIL-00024,Incorrect billing on my fibre account. Charged R4744 instead of R299.,billing,2024-03-28 13:05
BIL-00025,Why am I being billed R3280 when my plan is only R99 per month?,billing,2024-12-11 13:28
BIL-00026,I was charged R778 for a service I never signed up for. Please reverse this. My account number is ACC-27858. I will report to ICASA if this is not resolved.,billing,2024-09-26 13:00
BIL-00027,I cancelled my contract last month but I'm still being charged R664.,billing,2024-05-21 17:04
BIL-00028,Why am I being billed R2165 when my plan is only R499 per month? I will report to ICASA if this is not resolved.,billing,2024-05-11 10:45
BIL-00029,I paid R2762 at the store but it's not reflecting on my account.,billing,2024-09-04 14:57
SVC-00030,"The Cape Town CBD branch closed early and I couldn't collect my device. My account number is ACC-42231. This is urgent, please help. I will report to ICASA if this is not resolved.",network,2024-08-21 16:43
NET-00031,My fibre has been down for 1 days in Rustenburg. No one is helping. I will report to ICASA if this is not resolved.,network,2024-07-19 16:52
BIL-00032,"The upgrade fee of R1232 was not disclosed to me before signing. My account number is ACC-94765. This is urgent, please help.",billing,2024-06-03 16:46
NET-00033,Load shedding in Johannesburg South knocked out the tower and it's been 3 days.,network,2024-06-04 11:53
BIL-00034,Incorrect billing on my fibre account. Charged R645 instead of R299. My account number is ACC-66333.,billing,2024-10-04 15:40
SVC-00035,I visited the East London store and waited 69 minutes with no assistance. My account number is ACC-40785.,network,2024-02-14 15:03
BIL-00036,My prepaid balance of R3816 was deducted without any usage.,billing,2024-04-27 09:17
NET-00037,Network completely down in Boksburg. Multiple people affected for 5 days. I will report to ICASA if this is not resolved.,network,2024-09-25 16:33
FRD-00038,"Someone opened an account in my name using my ID ****7480. This is urgent, please help.",fraud,2024-06-12 13:05
BIL-00039,I cancelled my contract last month but I'm still being charged R472. My account number is ACC-53642.,billing,2024-04-07 09:47
BIL-00040,"Incorrect billing on my fibre account. Charged R988 instead of R99. This is urgent, please help.",billing,2024-10-24 10:04
BIL-00041,Why am I being billed R2200 when my plan is only R699 per month?,billing,2024-02-11 09:29
BIL-00042,The upgrade fee of R582 was not disclosed to me before signing.,billing,2024-02-20 14:14
NET-00043,Can't connect to 4G in Stellenbosch. Only getting Edge/2G for 12 days now.,service,2024-07-27 16:38
BIL-00044,Double charge on my account for R2468. I need this fixed urgently.,billing,2024-04-21 11:39
SVC-00045,The technician didn't show up for the scheduled appointment in Mitchells Plain.,network,2024-03-06 09:37
NET-00046,No signal in Nelspruit for the past 10 days. I can't make calls or use data.,service,2024-06-06 09:45
BIL-00047,I cancelled my contract last month but I'm still being charged R902.,billing,2024-01-06 14:50
BIL-00048,"I was charged R1764 for a service I never signed up for. Please reverse this. My account number is ACC-65296. This is urgent, please help.",billing,2024-03-24 15:31
FRD-00049,Received notification of a new line added to my account. I didn't do this. My account number is ACC-50296.,fraud,2024-09-05 09:49
BIL-00050,I cancelled my contract last month but I'm still being charged R533. My account number is ACC-21233.,billing,2024-06-01 17:15
FRD-00051,Suspicious activity on my account. Calls made to 0819707087 that I didn't make.,fraud,2024-06-12 10:14
BIL-00052,My prepaid balance of R4599 was deducted without any usage.,billing,2024-12-08 09:24
BIL-00053,"The upgrade fee of R4869 was not disclosed to me before signing. This is urgent, please help. I will report to ICASA if this is not resolved.",billing,2024-11-13 13:19
SVC-00054,"Your chatbot is useless. I need to speak to a real person about my account. My account number is ACC-51654. This is urgent, please help.",service,2024-03-01 10:49
BIL-00055,"Why am I being billed R4518 when my plan is only R299 per month? This is urgent, please help.",billing,2024-08-19 17:00
BIL-00056,Why am I being billed R2481 when my plan is only R199 per month? I will report to ICASA if this is not resolved.,billing,2024-12-19 15:40
FRD-00057,My account password was changed without my consent. Possible hack.,fraud,2024-05-04 15:36
BIL-00058,I cancelled my contract last month but I'm still being charged R1595. I will report to ICASA if this is not resolved.,billing,2024-02-16 16:04
BIL-00059,Stop debiting my account! I owe nothing. Last debit was R4751.,billing,2024-05-03 10:06
BIL-00060,My airtime of R2840 disappeared overnight. I didn't make any calls. I will report to ICASA if this is not resolved.,billing,2024-10-03 15:35
BIL-00061,I cancelled my contract last month but I'm still being charged R2596.,billing,2024-04-22 10:04
NET-00062,Constant dropped calls in Khayelitsha. This has been going on for 12 days.,network,2024-09-16 15:02
SVC-00063,"Your chatbot is useless. I need to speak to a real person about my account. My account number is ACC-16364. This is urgent, please help.",service,2024-05-09 16:56
BIL-00064,My account shows a debit of R4493 that I don't recognise. This is unacceptable.,billing,2024-09-23 12:40
BIL-00065,My airtime of R644 disappeared overnight. I didn't make any calls.,billing,2024-11-16 13:11
BIL-00066,My account shows a debit of R2370 that I don't recognise. This is unacceptable. My account number is ACC-37686.,billing,2024-05-11 09:00
FRD-00067,Unauthorised purchase of R942 on my account. I need this investigated.,fraud,2024-12-26 17:37
BIL-00068,Incorrect billing on my fibre account. Charged R1497 instead of R699.,billing,2024-07-10 13:24
BIL-00069,Incorrect billing on my fibre account. Charged R658 instead of R699. My account number is ACC-61850. I will report to ICASA if this is not resolved.,billing,2024-02-14 12:18
BIL-00070,My prepaid balance of R2718 was deducted without any usage.,billing,2024-08-02 14:09
BIL-00071,My prepaid balance of R3267 was deducted without any usage. I will report to ICASA if this is not resolved.,billing,2024-09-24 12:44
BIL-00072,"Why am I being billed R3001 when my plan is only R299 per month? This is urgent, please help.",billing,2024-05-09 08:50
BIL-00073,I was promised a discount of R2457 but my bill still shows full price.,billing,2024-08-06 15:07
BIL-00074,My prepaid balance of R4814 was deducted without any usage.,billing,2024-06-04 16:48
BIL-00075,My prepaid balance of R335 was deducted without any usage.,billing,2024-01-13 12:19
NET-00076,"No network coverage at my new address in Pretoria East. Was told there would be. This is urgent, please help.",network,2024-06-07 17:31
SVC-00077,The Stellenbosch branch closed early and I couldn't collect my device.,service,2024-09-14 09:05
BIL-00078,I cancelled my contract last month but I'm still being charged R782. My account number is ACC-46216.,billing,2024-01-25 08:49
FRD-00079,My account was accessed and R3502 was transferred out. This is theft. My account number is ACC-45487. I will report to ICASA if this is not resolved.,fraud,2024-10-14 08:41
BIL-00080,I was promised a discount of R3710 but my bill still shows full price. My account number is ACC-44578.,billing,2024-06-18 11:42
BIL-00081,My prepaid balance of R1451 was deducted without any usage.,billing,2024-01-26 13:25
NET-00082,WiFi calling not working in Krugersdorp despite being in a no-signal zone. My account number is ACC-94936.,network,2024-08-27 16:21
FRD-00083,"Someone opened an account in my name using my ID ****6368. This is urgent, please help.",fraud,2024-10-23 11:16
FRD-00084,Unauthorised purchase of R3927 on my account. I need this investigated.,fraud,2024-05-09 10:22
BIL-00085,I paid R3685 at the store but it's not reflecting on my account. I will report to ICASA if this is not resolved.,billing,2024-06-20 13:21
BIL-00086,I was charged R754 for a service I never signed up for. Please reverse this.,billing,2024-03-12 17:56
BIL-00087,The upgrade fee of R4151 was not disclosed to me before signing. My account number is ACC-69464.,billing,2024-04-15 09:16
SVC-00088,Promised a callback within 24 hours. It's been 3 days. Nothing. My account number is ACC-99707.,service,2024-03-07 17:37
SVC-00089,"Your chatbot is useless. I need to speak to a real person about my account. My account number is ACC-54919. This is urgent, please help.",service,2024-07-08 15:51
SVC-00090,The technician didn't show up for the scheduled appointment in Boksburg.,network,2024-09-17 16:28
BIL-00091,My airtime of R138 disappeared overnight. I didn't make any calls.,billing,2024-03-03 13:56
NET-00092,Constant dropped calls in Sandton. This has been going on for 5 days. My account number is ACC-23229. I will report to ICASA if this is not resolved.,network,2024-08-24 13:48
SVC-00093,Promised a callback within 24 hours. It's been 11 days. Nothing.,service,2024-06-19 08:30
BIL-00094,Stop debiting my account! I owe nothing. Last debit was R4336.,billing,2024-04-20 17:04
FRD-00095,Suspicious activity on my account. Calls made to 0626245578 that I didn't make. My account number is ACC-17174.,fraud,2024-07-17 13:42
BIL-00096,"Stop debiting my account! I owe nothing. Last debit was R2458. My account number is ACC-76416. This is urgent, please help.",billing,2024-03-24 16:17
NET-00097,Can't connect to 4G in Mitchells Plain. Only getting Edge/2G for 5 days now.,network,2024-07-02 09:56
FRD-00098,"I'm receiving bills for a contract I never signed. ID number ****3943 was used. This is urgent, please help.",fraud,2024-03-21 14:51
BIL-00099,Why am I being billed R887 when my plan is only R299 per month? My account number is ACC-38467.,billing,2024-08-12 15:44
BIL-00100,My prepaid balance of R4670 was deducted without any usage.,billing,2024-05-01 08:33
NET-00101,No network coverage at my new address in Centurion. Was told there would be. My account number is ACC-64948. I will report to ICASA if this is not resolved.,network,2024-01-06 12:35
BIL-00102,Stop debiting my account! I owe nothing. Last debit was R4483. I will report to ICASA if this is not resolved.,billing,2024-09-27 16:54
BIL-00103,I paid R2444 at the store but it's not reflecting on my account.,billing,2024-02-06 12:07
BIL-00104,My prepaid balance of R1047 was deducted without any usage. My account number is ACC-96570.,billing,2024-05-25 14:44
FRD-00105,My account was accessed and R2286 was transferred out. This is theft.,fraud,2024-08-22 14:35
NET-00106,Experiencing packet loss and high latency in Johannesburg South. Can't work from home.,network,2024-01-04 12:22
BIL-00107,"I cancelled my contract last month but I'm still being charged R3145. This is urgent, please help.",billing,2024-05-17 11:20
BIL-00108,My prepaid balance of R382 was deducted without any usage.,billing,2024-01-04 14:32
NET-00109,Constant dropped calls in Pietermaritzburg. This has been going on for 7 days.,network,2024-02-05 17:41
BIL-00110,"Incorrect billing on my fibre account. Charged R876 instead of R499. This is urgent, please help.",billing,2024-09-02 09:21
NET-00111,Internet speed is terrible in Mitchells Plain. I'm getting 0.5mbps instead of 100mbps.,network,2024-04-23 09:24
BIL-00112,My account shows a debit of R4831 that I don't recognise. This is unacceptable.,billing,2024-02-20 14:27
SVC-00113,I've been on hold for 88 minutes trying to speak to someone about my account. My account number is ACC-45643.,network,2024-07-17 13:04
SVC-00114,My SIM swap request has been pending for 9 days. No updates.,service,2024-07-14 17:16
NET-00115,Internet speed is terrible in Bloemfontein. I'm getting 0.5mbps instead of 100mbps.,network,2024-01-13 09:46
BIL-00116,"My account shows a debit of R626 that I don't recognise. This is unacceptable. My account number is ACC-94884. This is urgent, please help.",billing,2024-05-11 13:38
BIL-00117,Double charge on my account for R3101. I need this fixed urgently. My account number is ACC-68079.,billing,2024-12-14 17:41
BIL-00118,The upgrade fee of R839 was not disclosed to me before signing. My account number is ACC-20772.,billing,2024-05-20 09:15
BIL-00119,My prepaid balance of R2606 was deducted without any usage.,billing,2024-10-17 14:17
SVC-00120,Your consultant Johan was extremely rude and unhelpful when I called. I will report to ICASA if this is not resolved.,service,2024-07-06 09:31
BIL-00121,My prepaid balance of R261 was deducted without any usage. My account number is ACC-81535.,billing,2024-10-18 15:18
BIL-00122,My prepaid balance of R1356 was deducted without any usage.,billing,2024-10-01 12:59
NET-00123,Experiencing packet loss and high latency in Pretoria East. Can't work from home. I will report to ICASA if this is not resolved.,network,2024-04-22 09:27
BIL-00124,"My airtime of R2389 disappeared overnight. I didn't make any calls. My account number is ACC-54786. This is urgent, please help.",billing,2024-03-11 13:36
NET-00125,Can't connect to 4G in Mafikeng. Only getting Edge/2G for 1 days now. My account number is ACC-10859.,network,2024-02-02 10:51
SVC-00126,"Your consultant Lerato was extremely rude and unhelpful when I called. My account number is ACC-72986. This is urgent, please help.",service,2024-02-26 15:07
BIL-00127,The upgrade fee of R1167 was not disclosed to me before signing.,billing,2024-12-18 13:15
FRD-00128,Someone is using my identity to get contracts. Reference REF-296516. My account number is ACC-88943.,fraud,2024-12-15 08:00
NET-00129,"Internet speed is terrible in Mitchells Plain. I'm getting 0.5mbps instead of 100mbps. This is urgent, please help.",network,2024-08-27 14:42
BIL-00130,My account shows a debit of R3937 that I don't recognise. This is unacceptable. My account number is ACC-95466.,billing,2024-11-19 12:25
BIL-00131,Double charge on my account for R592. I need this fixed urgently. My account number is ACC-42325.,billing,2024-12-19 14:57
BIL-00132,The upgrade fee of R3195 was not disclosed to me before signing.,billing,2024-12-01 12:13
BIL-00133,Why am I being billed R4019 when my plan is only R199 per month?,billing,2024-12-06 08:26
SVC-00134,Your chatbot is useless. I need to speak to a real person about my account.,service,2024-01-06 10:13
SVC-00135,"The technician didn't show up for the scheduled appointment in Stellenbosch. My account number is ACC-20015. This is urgent, please help. I will report to ICASA if this is not resolved.",service,2024-12-18 13:05
SVC-00136,Your consultant David was extremely rude and unhelpful when I called. My account number is ACC-66502.,service,2024-04-28 13:04
SVC-00137,Sent an email 5 days ago to complaints. No acknowledgement received. I will report to ICASA if this is not resolved.,service,2024-01-12 09:13
BIL-00138,Double charge on my account for R4550. I need this fixed urgently.,billing,2024-02-03 13:45
FRD-00139,"My banking details were changed on my account without my knowledge. This is urgent, please help.",fraud,2024-08-07 16:58
NET-00140,"Experiencing packet loss and high latency in Germiston. Can't work from home. My account number is ACC-59411. This is urgent, please help.",network,2024-10-17 08:41
SVC-00141,My number porting has been stuck for 10 days. I can't receive calls. I will report to ICASA if this is not resolved.,service,2024-11-24 17:50
BIL-00142,My airtime of R219 disappeared overnight. I didn't make any calls.,billing,2024-07-07 11:20
BIL-00143,Why am I being billed R2351 when my plan is only R99 per month? My account number is ACC-72204.,billing,2024-08-23 15:35
BIL-00144,I paid R4887 at the store but it's not reflecting on my account.,billing,2024-01-14 17:40
NET-00145,Experiencing packet loss and high latency in Umhlanga. Can't work from home.,network,2024-06-11 08:56
BIL-00146,I was charged R4585 for a service I never signed up for. Please reverse this. My account number is ACC-90495.,billing,2024-08-04 09:15
FRD-00147,"My account was accessed and R436 was transferred out. This is theft. My account number is ACC-59272. This is urgent, please help.",fraud,2024-06-14 16:39
BIL-00148,My airtime of R1393 disappeared overnight. I didn't make any calls.,billing,2024-03-13 16:24
BIL-00149,The upgrade fee of R4341 was not disclosed to me before signing. My account number is ACC-29073.,billing,2024-07-14 12:28
NET-00150,Network completely down in Stellenbosch. Multiple people affected for 6 days.,network,2024-10-25 14:12
SVC-00151,I submitted a query 1 days ago with reference REF-502370. Still no response. My account number is ACC-84397.,service,2024-12-21 14:57
BIL-00152,My account shows a debit of R1589 that I don't recognise. This is unacceptable. My account number is ACC-76426.,billing,2024-09-19 08:11
BIL-00153,Stop debiting my account! I owe nothing. Last debit was R1772.,billing,2024-10-26 14:49
BIL-00154,The upgrade fee of R998 was not disclosed to me before signing.,billing,2024-11-04 16:17
NET-00155,My fibre has been down for 6 days in Nelspruit. No one is helping.,service,2024-01-06 10:04
BIL-00156,My prepaid balance of R906 was deducted without any usage. My account number is ACC-43082.,billing,2024-07-28 16:52
BIL-00157,"I was charged R4494 for a service I never signed up for. Please reverse this. My account number is ACC-81987. This is urgent, please help.",billing,2024-12-16 09:01
SVC-00158,I've called 9 times about the same issue. Each time I'm told it's escalated.,service,2024-06-26 17:34
BIL-00159,"My airtime of R3129 disappeared overnight. I didn't make any calls. This is urgent, please help.",billing,2024-11-19 13:02
NET-00160,Tower in Umhlanga seems broken. No coverage for 1 days straight. My account number is ACC-19837.,network,2024-05-15 17:16
SVC-00161,Your chatbot is useless. I need to speak to a real person about my account. My account number is ACC-88644.,service,2024-10-19 14:53
BIL-00162,My prepaid balance of R1732 was deducted without any usage.,billing,2024-07-25 11:26
SVC-00163,Promised a callback within 24 hours. It's been 1 days. Nothing.,network,2024-03-16 15:30
BIL-00164,The upgrade fee of R4737 was not disclosed to me before signing.,billing,2024-09-18 17:56
BIL-00165,Double charge on my account for R1078. I need this fixed urgently. My account number is ACC-94180.,billing,2024-12-20 14:39
FRD-00166,Received notification of a new line added to my account. I didn't do this.,fraud,2024-10-11 08:08
BIL-00167,"I paid R307 at the store but it's not reflecting on my account. This is urgent, please help.",billing,2024-12-13 13:23
BIL-00168,"My account shows a debit of R1784 that I don't recognise. This is unacceptable. This is urgent, please help.",billing,2024-10-02 11:44
BIL-00169,My prepaid balance of R1052 was deducted without any usage.,billing,2024-11-08 16:57
BIL-00170,My airtime of R1147 disappeared overnight. I didn't make any calls.,billing,2024-08-11 08:37
NET-00171,Tower in Rustenburg seems broken. No coverage for 11 days straight.,service,2024-02-17 16:17
NET-00172,No network coverage at my new address in Boksburg. Was told there would be. My account number is ACC-66621. I will report to ICASA if this is not resolved.,network,2024-12-24 10:45
FRD-00173,"My account password was changed without my consent. Possible hack. This is urgent, please help.",fraud,2024-06-07 15:10
BIL-00174,"My airtime of R577 disappeared overnight. I didn't make any calls. My account number is ACC-29655. This is urgent, please help.",billing,2024-05-15 15:35
SVC-00175,My SIM swap request has been pending for 14 days. No updates.,service,2024-09-23 16:29
BIL-00176,My prepaid balance of R959 was deducted without any usage.,billing,2024-12-03 09:09
SVC-00177,My number porting has been stuck for 11 days. I can't receive calls. My account number is ACC-49323. I will report to ICASA if this is not resolved.,service,2024-06-28 11:28
SVC-00178,Your chatbot is useless. I need to speak to a real person about my account.,service,2024-07-18 08:36
BIL-00179,Double charge on my account for R1487. I need this fixed urgently. My account number is ACC-34112.,billing,2024-12-15 08:55
FRD-00180,"My account password was changed without my consent. Possible hack. My account number is ACC-47803. This is urgent, please help.",fraud,2024-11-28 11:20
BIL-00181,Why am I being billed R3902 when my plan is only R99 per month?,billing,2024-09-14 10:28
BIL-00182,My airtime of R1429 disappeared overnight. I didn't make any calls. My account number is ACC-99449.,billing,2024-01-22 16:56
FRD-00183,Someone opened an account in my name using my ID ****7747.,fraud,2024-01-08 12:52
SVC-00184,I visited the Umhlanga store and waited 39 minutes with no assistance. My account number is ACC-28720.,network,2024-09-05 12:00
BIL-00185,I was promised a discount of R1787 but my bill still shows full price. My account number is ACC-95016.,billing,2024-04-10 11:25
BIL-00186,I paid R929 at the store but it's not reflecting on my account. I will report to ICASA if this is not resolved.,billing,2024-01-16 15:35
NET-00187,"Experiencing packet loss and high latency in Johannesburg South. Can't work from home. This is urgent, please help.",network,2024-07-23 14:59
NET-00188,My fibre has been down for 3 days in Vanderbijlpark. No one is helping. My account number is ACC-90276.,network,2024-09-03 16:09
FRD-00189,My account password was changed without my consent. Possible hack.,fraud,2024-10-22 12:22
BIL-00190,The upgrade fee of R4998 was not disclosed to me before signing.,billing,2024-07-27 17:48
BIL-00191,I cancelled my contract last month but I'm still being charged R4728.,billing,2024-11-03 10:53
BIL-00192,Double charge on my account for R4073. I need this fixed urgently.,billing,2024-05-28 10:45
BIL-00193,Why am I being billed R1654 when my plan is only R99 per month?,billing,2024-03-21 14:04
BIL-00194,Incorrect billing on my fibre account. Charged R4401 instead of R699.,billing,2024-04-27 12:49
BIL-00195,Why am I being billed R176 when my plan is only R299 per month? My account number is ACC-55783.,billing,2024-07-22 13:00
BIL-00196,The upgrade fee of R1785 was not disclosed to me before signing.,billing,2024-03-02 13:41
BIL-00197,I cancelled my contract last month but I'm still being charged R3088.,billing,2024-12-05 10:38
NET-00198,Network completely down in Benoni. Multiple people affected for 7 days. My account number is ACC-93229.,network,2024-10-23 14:14
BIL-00199,Stop debiting my account! I owe nothing. Last debit was R4929.,billing,2024-10-22 14:05
BIL-00200,"My airtime of R3310 disappeared overnight. I didn't make any calls. This is urgent, please help.",billing,2024-12-15 11:39
FRD-00201,Unauthorised SIM swap on my number 0835519022. I didn't request this.,fraud,2024-02-23 12:45
NET-00202,My fibre has been down for 3 days in Roodepoort. No one is helping.,network,2024-09-11 15:23
BIL-00203,Incorrect billing on my fibre account. Charged R4366 instead of R199. My account number is ACC-78167.,billing,2024-02-14 15:36
FRD-00204,Received notification of a new line added to my account. I didn't do this.,fraud,2024-12-14 15:23
BIL-00205,I was charged R2367 for a service I never signed up for. Please reverse this.,billing,2024-06-28 11:44
BIL-00206,I was promised a discount of R2666 but my bill still shows full price. My account number is ACC-64328.,billing,2024-07-27 17:14
BIL-00207,Incorrect billing on my fibre account. Charged R1507 instead of R299.,billing,2024-04-28 16:06
FRD-00208,I'm receiving bills for a contract I never signed. ID number ****5600 was used.,fraud,2024-07-26 14:01
NET-00209,My fibre has been down for 3 days in Durban North. No one is helping.,network,2024-10-21 15:51
BIL-00210,My prepaid balance of R4101 was deducted without any usage.,billing,2024-05-12 09:00
SVC-00211,I've called 8 times about the same issue. Each time I'm told it's escalated.,service,2024-12-04 17:18
NET-00212,WiFi calling not working in Roodepoort despite being in a no-signal zone.,network,2024-02-12 11:20
BIL-00213,I was promised a discount of R1163 but my bill still shows full price.,billing,2024-10-19 14:48
BIL-00214,My airtime of R1934 disappeared overnight. I didn't make any calls.,billing,2024-03-24 16:31
BIL-00215,Stop debiting my account! I owe nothing. Last debit was R553. My account number is ACC-46883.,billing,2024-02-11 13:16
SVC-00216,Your consultant Sarah was extremely rude and unhelpful when I called.,service,2024-08-14 15:05
SVC-00217,My number porting has been stuck for 6 days. I can't receive calls.,network,2024-04-16 13:19
SVC-00218,Your consultant Thabo was extremely rude and unhelpful when I called.,service,2024-09-05 17:01
BIL-00219,My prepaid balance of R287 was deducted without any usage.,billing,2024-08-22 09:23
BIL-00220,"I cancelled my contract last month but I'm still being charged R4745. My account number is ACC-15776. This is urgent, please help.",billing,2024-07-17 13:19
BIL-00221,I cancelled my contract last month but I'm still being charged R3753. My account number is ACC-21013.,billing,2024-04-19 08:29
SVC-00222,The technician didn't show up for the scheduled appointment in Kimberley.,service,2024-02-16 16:38
SVC-00223,"I've been on hold for 76 minutes trying to speak to someone about my account. This is urgent, please help.",service,2024-11-17 17:32
SVC-00224,I visited the Stellenbosch store and waited 80 minutes with no assistance.,service,2024-05-15 15:55
FRD-00225,"Someone ported my number 0744536273 without my consent. I suspect fraud. This is urgent, please help.",fraud,2024-12-24 08:34
SVC-00226,"I submitted a query 4 days ago with reference REF-328374. Still no response. This is urgent, please help. I will report to ICASA if this is not resolved.",service,2024-09-09 13:21
FRD-00227,My account password was changed without my consent. Possible hack. My account number is ACC-59055.,fraud,2024-06-05 08:51
BIL-00228,My prepaid balance of R1913 was deducted without any usage.,billing,2024-04-28 10:19
BIL-00229,"I paid R454 at the store but it's not reflecting on my account. My account number is ACC-10276. This is urgent, please help.",billing,2024-07-15 14:24
BIL-00230,My account shows a debit of R4950 that I don't recognise. This is unacceptable. My account number is ACC-28208.,billing,2024-11-26 08:48
BIL-00231,My account shows a debit of R4915 that I don't recognise. This is unacceptable.,billing,2024-03-17 12:14
NET-00232,Data connection keeps dropping every few minutes in Bloemfontein. Very frustrating. My account number is ACC-48488.,service,2024-12-10 08:22
SVC-00233,Your chatbot is useless. I need to speak to a real person about my account. My account number is ACC-80419.,service,2024-02-27 09:40
BIL-00234,I cancelled my contract last month but I'm still being charged R1245. My account number is ACC-66792. I will report to ICASA if this is not resolved.,billing,2024-01-24 15:33
NET-00235,No signal in Germiston for the past 11 days. I can't make calls or use data.,network,2024-06-09 10:27
SVC-00236,The Centurion branch closed early and I couldn't collect my device.,service,2024-02-08 08:51
SVC-00237,The Pretoria East branch closed early and I couldn't collect my device.,network,2024-03-03 12:40
BIL-00238,The upgrade fee of R137 was not disclosed to me before signing. I will report to ICASA if this is not resolved.,billing,2024-05-02 12:41
BIL-00239,My account shows a debit of R2267 that I don't recognise. This is unacceptable.,billing,2024-07-14 14:57
SVC-00240,Sent an email 6 days ago to complaints. No acknowledgement received. My account number is ACC-23889.,network,2024-12-11 14:28
BIL-00241,Why am I being billed R2813 when my plan is only R499 per month? My account number is ACC-28531.,billing,2024-04-26 14:02
BIL-00242,I was promised a discount of R4975 but my bill still shows full price. My account number is ACC-12592.,billing,2024-12-12 11:05
BIL-00243,My prepaid balance of R3905 was deducted without any usage.,billing,2024-04-12 16:18
BIL-00244,Incorrect billing on my fibre account. Charged R882 instead of R199.,billing,2024-04-26 14:11
BIL-00245,I cancelled my contract last month but I'm still being charged R3444.,billing,2024-12-15 12:59
BIL-00246,"Double charge on my account for R4187. I need this fixed urgently. This is urgent, please help.",billing,2024-07-15 16:50
NET-00247,No signal in Vanderbijlpark for the past 6 days. I can't make calls or use data. My account number is ACC-27688.,network,2024-03-06 09:25
BIL-00248,I cancelled my contract last month but I'm still being charged R1903.,billing,2024-02-27 10:35
NET-00249,Can't connect to 4G in Kimberley. Only getting Edge/2G for 7 days now.,network,2024-06-26 16:55
BIL-00250,"I was promised a discount of R3476 but my bill still shows full price. This is urgent, please help.",billing,2024-08-20 08:55
FRD-00251,My banking details were changed on my account without my knowledge.,fraud,2024-04-07 14:45
BIL-00252,My prepaid balance of R2594 was deducted without any usage. My account number is ACC-62847.,billing,2024-12-27 17:48
SVC-00253,I submitted a query 3 days ago with reference REF-595727. Still no response.,service,2024-03-25 14:49
BIL-00254,"I was charged R2054 for a service I never signed up for. Please reverse this. My account number is ACC-55746. This is urgent, please help.",billing,2024-11-19 17:19
BIL-00255,I was charged R2597 for a service I never signed up for. Please reverse this. I will report to ICASA if this is not resolved.,billing,2024-05-21 11:20
NET-00256,Tower in Witbank seems broken. No coverage for 9 days straight.,network,2024-12-02 11:06
BIL-00257,I was promised a discount of R1879 but my bill still shows full price. My account number is ACC-41310.,billing,2024-10-22 10:48
BIL-00258,The upgrade fee of R4663 was not disclosed to me before signing.,billing,2024-10-23 16:49
BIL-00259,My prepaid balance of R1957 was deducted without any usage.,billing,2024-11-07 12:20
BIL-00260,I was charged R1174 for a service I never signed up for. Please reverse this.,billing,2024-02-25 08:21
BIL-00261,"I was promised a discount of R4706 but my bill still shows full price. This is urgent, please help.",billing,2024-01-26 14:32
BIL-00262,Incorrect billing on my fibre account. Charged R2047 instead of R499.,billing,2024-05-20 12:35
BIL-00263,My airtime of R1432 disappeared overnight. I didn't make any calls.,billing,2024-05-02 08:43
